Letter,Disease_Name,Category,Description,Prevalence_Range,Source_URL
M,Myasthenia Gravis,Autoimmune Neuromuscular,"Muscle weakness worsening with activity. Affects eyes, face, throat.",1 in 5,000,https://www.ninds.nih.gov/health-information/disorders/myasthenia-gravis
N,Neurogenetic Diseases,Genetic,"Disorders caused by gene mutations affecting the nervous system.",Varies,https://www.ninds.nih.gov/health-information/disorders/neurogenetic-disorders
N,Neuroinfectious Diseases,Infectious,"Brain infections: encephalitis, meningitis, prion diseases.",Varies,https://www.ninds.nih.gov/health-information/disorders/neuroinfectious-diseases
N,Neurorehabilitation,Rehabilitation,"Therapies to restore function after brain injury, stroke, or disease.",N/A,https://www.ninds.nih.gov/health-information/disorders/neurorehabilitation
P,PANS/PANDAS,Autoimmune Neuropsychiatric,"Sudden onset OCD and tics triggered by infections (streptococcus).",1 in 200 children (est.),https://www.nimh.nih.gov/health/topics/pandas
P,Parkinson’s Disease,Neurodegenerative,"Progressive loss of dopamine cells causing tremor, stiffness, slowness.",1 in 500 (age 60+),https://www.parkinson.org
P,Peripheral Neuropathy,Nerve Disorder,"Damage to peripheral nerves causing pain, numbness, weakness.",2–8% of adults,https://www.ninds.nih.gov/health-information/disorders/peripheral-neuropathy
P,Post-Traumatic Stress Disorder (PTSD),Psychiatric,"Persistent mental distress after trauma. Affects memory, mood, arousal.",6–8% lifetime,https://www.nimh.nih.gov/health/topics/post-traumatic-stress-disorder-ptsd
P,Progressive Supranuclear Palsy (PSP),Tauopathy,"Rare Parkinson-like disease with falls, eye movement issues, dementia.",1 in 100,000,https://www.ninds.nih.gov/health-information/disorders/progressive-supranuclear-palsy-psp
R,REM Sleep Behavior Disorder (RBD),Sleep Disorder,"Acting out vivid dreams due to lack of muscle atonia in REM sleep. Precursor to Parkinson’s.",1–2% over age 50,https://www.ninds.nih.gov/health-information/disorders/rem-sleep-behavior-disorder
S,Schizencephaly,Structural,"Congenital brain malformation with clefts lined by gray matter.",1 in 70,000 births,https://www.ninds.nih.gov/health-information/disorders/schizencephaly
S,Sleep Disorders,Neurological,"Includes insomnia, sleep apnea, narcolepsy, RBD.",1 in 3 adults,https://www.ninds.nih.gov/health-information/disorders/sleep-disorders
S,Spinal Muscular Atrophy,Genetic Motor,"Progressive motor neuron loss leading to muscle weakness. SMA Type 1 most severe.",1 in 10,000 births,https://www.curesma.org
S,Stiff Person Syndrome,Autoimmune,"Rare disorder with muscle stiffness and painful spasms. GAD antibody positive.",1 in 1,000,000,https://www.ninds.nih.gov/health-information/disorders/stiff-person-syndrome
S,Stroke,Vascular,"Sudden interruption of blood to brain causing cell death. Ischemic or hemorrhagic.",1 in 6 lifetime risk,https://www.stroke.org
T,Terson Syndrome,Ocular-Neurological,"Vitreous hemorrhage following subarachnoid hemorrhage.",8–14% of SAH cases,https://pubmed.ncbi.nlm.nih.gov/28620723/
T,Tourette Syndrome,Tic Disorder,"Involuntary motor and vocal tics. Onset in childhood.",1 in 160 children,https://www.cdc.gov/ncbddd/tourette
T,Transient Ischemic Attack (TIA),Vascular,"Mini-stroke with temporary symptoms. Warning sign of full stroke.",200,000/year (US),https://www.stroke.org
T,Traumatic Brain Injury,Injury,"Brain damage from external force. Ranges from mild (concussion) to severe.",2.8 million/year (US),https://www.cdc.gov/traumatic-brain-injury
T,Tremors,Movement Disorder,"Rhythmic shaking. Includes essential tremor, Parkinsonian tremor.",4–5% over age 40,https://www.ninds.nih.gov/health-information/disorders/tremor
