ID,Fabric_Type,Color,Gender,measurement_units,Price (₦),Season,Occasion,Location,Stitch_Quality,Style_Type,Sold_Status
251,Brocade,Cream,Female,t,4753,normal,Wedding,Abuja,High,Fashion,Fast
252,Damask,Pink,Female,t,7309,normal,Casual,Ibadan,Low,Fashion,Fast
253,Linen,Violet,Female,t,3751,normal,Office,Benin,Medium,Casual,Fast
254,Linen,Grey,Male,t,6149,festival,Casual,Kano,Medium,Fashion,Fast
255,Milkado,Green,Female,t,3665,normal,Wedding,Port Harcourt,Low,Fashion,Fast
256,Irish,wine,Female,t,5065,festival,Party,Abeokuta,Low,Corporate,Slow
257,Milkado,lilac,Male,t,7648,festival,Casual,Kano,Low,Traditional,Fast
258,Crepe,Blue,Male,t,2936,normal,Office,Abeokuta,High,Corporate,Fast
259,Damask,Violet,Male,t,7154,festival,Casual,Lagos,Medium,Corporate,Slow
260,Chinox,Black,Male,t,4049,festival,Party,Kano,High,Traditional,Fast
261,Chinox,Pink,Female,t,4562,festival,Casual,Abuja,Medium,Traditional,Fast
262,Irish,Red,Female,t,2635,festival,Church,Kano,Low,Fashion,Fast
263,Brocade,Cream,Female,t,6356,festival,Office,Kano,Medium,Casual,Fast
264,Chinox,Cream,Female,t,2617,festival,Wedding,Port Harcourt,Medium,Casual,Fast
265,Irish,Olive,Male,t,6105,festival,Office,Benin,Medium,Corporate,Fast
266,Silk,Cream,Female,t,7638,normal,Church,Ibadan,Medium,Casual,Slow
267,Jeans,White,Female,t,3296,festival,Party,Enugu,High,Casual,Slow
268,Crepe,pitch,Female,t,7808,festival,Party,Enugu,Medium,Corporate,Slow
269,Cashmen,magenta,Female,t,6240,normal,Wedding,Enugu,High,Casual,Slow
270,Jonkoso,Brown,Male,t,2677,normal,Office,Enugu,Medium,Casual,Slow
271,Licra,Pink,Female,t,2367,normal,Office,Ibadan,High,Traditional,Slow
272,Damask,Violet,Female,t,6483,normal,Casual,Abuja,High,Casual,Fast
273,Milkado,White,Female,t,5532,festival,Church,Port Harcourt,High,Fashion,Fast
274,Crepe,magenta,Male,t,5303,normal,Office,Abuja,High,Fashion,Slow
275,Licra,White,Female,t,2583,festival,Church,Abeokuta,Low,Traditional,Fast
276,Sevenstar,Yellow,Male,t,4967,festival,Wedding,Enugu,High,Corporate,Fast
277,Crepe,Cream,Male,t,5740,normal,Party,Benin,High,Corporate,Slow
278,Rib,Violet,Male,t,2052,festival,Office,Lagos,Medium,Corporate,Fast
279,Chinox,magenta,Male,t,7342,festival,Office,Abuja,High,Fashion,Fast
280,Jonkoso,Pink,Female,t,4131,normal,Casual,Kano,Medium,Traditional,Slow
281,Milkado,Grey,Female,t,5086,normal,Office,Abeokuta,High,Fashion,Slow
282,Damask,Cream,Female,t,7989,festival,Wedding,Port Harcourt,Medium,Corporate,Fast
283,Jonkoso,Pink,Female,t,7686,festival,Wedding,Ibadan,High,Casual,Slow
284,Rib,Cream,Female,t,4512,festival,Church,Ibadan,Low,Traditional,Fast
285,Cashmen,wine,Male,t,4319,normal,Party,Abuja,High,Fashion,Fast
286,Cashmen,lilac,Male,t,2119,festival,Wedding,Ibadan,Medium,Casual,Slow
287,Brocade,White,Male,t,6467,normal,Party,Lagos,Low,Corporate,Fast
288,Crepe,Violet,Female,t,2641,festival,Church,Lagos,Medium,Casual,Fast
289,Cashmen,Red,Male,t,7597,normal,Casual,Enugu,High,Casual,Fast
290,Jeans,pitch,Female,t,5925,normal,Wedding,Abeokuta,High,Casual,Fast
291,Silk,Olive,Male,t,6401,festival,Office,Ibadan,Medium,Fashion,Slow
292,Crepe,Yellow,Female,t,6156,festival,Church,Lagos,Medium,Casual,Slow
293,Silk,Olive,Male,t,7071,festival,Office,Lagos,High,Fashion,Slow
294,Crepe,Grey,Female,t,7272,normal,Office,Port Harcourt,Low,Casual,Slow
295,Jonkoso,magenta,Male,t,4544,normal,Party,Ibadan,Low,Casual,Fast
296,Milkado,Green,Female,t,4013,normal,Casual,Enugu,Medium,Corporate,Slow
297,Linen,Violet,Female,t,6190,normal,Office,Enugu,Low,Traditional,Slow
298,Jeans,Violet,Female,t,4887,normal,Office,Enugu,High,Fashion,Slow
299,Irish,Grey,Male,t,4910,festival,Church,Lagos,Low,Traditional,Slow
300,Cashmen,lilac,Female,t,4045,normal,Wedding,Lagos,High,Casual,Slow
301,Jeans,Blue,Female,t,7656,festival,Casual,Enugu,High,Corporate,Fast
302,Linen,Grey,Male,t,4862,festival,Casual,Abeokuta,Medium,Casual,Slow
303,Licra,Black,Male,t,4821,festival,Casual,Ibadan,Medium,Traditional,Fast
304,Cashmen,Red,Male,t,4784,festival,Party,Abuja,Low,Casual,Fast
305,Crepe,Grey,Female,t,4937,normal,Wedding,Benin,Low,Casual,Fast
306,Sevenstar,Olive,Male,t,4908,normal,Wedding,Kano,Low,Fashion,Fast
307,Milkado,Red,Female,t,7772,normal,Wedding,Kano,Low,Corporate,Fast
308,Crepe,Black,Female,t,7435,normal,Casual,Abeokuta,High,Fashion,Slow
309,Jonkoso,Violet,Female,t,3549,festival,Church,Kano,Low,Traditional,Fast
310,Irish,Black,Female,t,6937,normal,Party,Abuja,Medium,Casual,Slow
311,Rib,wine,Male,t,7280,festival,Church,Enugu,Low,Casual,Fast
312,Damask,White,Male,t,5102,festival,Party,Abeokuta,Low,Fashion,Fast
313,Cashmen,Grey,Male,t,4609,festival,Party,Kano,High,Casual,Slow
314,Irish,Cream,Female,t,4905,normal,Party,Port Harcourt,High,Corporate,Fast
315,Cashmen,Pink,Female,t,5219,normal,Wedding,Enugu,High,Fashion,Fast
316,Brocade,Green,Female,t,7649,festival,Church,Lagos,High,Traditional,Fast
317,Crepe,Yellow,Male,t,5794,festival,Casual,Abuja,Low,Casual,Fast
318,Irish,wine,Male,t,4929,normal,Party,Lagos,Low,Casual,Slow
319,Linen,Green,Male,t,5297,festival,Church,Enugu,Medium,Corporate,Slow
320,Linen,pitch,Female,t,5810,normal,Party,Benin,Low,Traditional,Fast
321,Sevenstar,Brown,Female,t,7509,festival,Church,Abeokuta,Low,Casual,Fast
322,Brocade,magenta,Female,t,2965,festival,Church,Abuja,Medium,Corporate,Fast
323,Licra,Brown,Female,t,6494,normal,Casual,Enugu,High,Fashion,Fast
324,Jeans,Pink,Male,t,5556,festival,Office,Abuja,Medium,Casual,Slow
325,Chinox,Violet,Male,t,2662,normal,Party,Abeokuta,Low,Fashion,Fast
326,Licra,Black,Female,t,5783,normal,Church,Port Harcourt,Medium,Casual,Slow
327,Silk,magenta,Female,t,6987,normal,Wedding,Abeokuta,Medium,Casual,Slow
328,Rib,Grey,Female,t,4144,normal,Party,Enugu,High,Fashion,Fast
